state,district,total_enrollments,age_0_5,age_5_17,age_18_greater,active_days,unique_pincodes,pct_children,pct_youth,pct_adults,daily_avg,per_pincode_avg,cluster,cluster_name
Andaman & Nicobar Islands,Andamans,73,68,5,0,41,7,93.15068493150685,6.8493150684931505,0.0,1.7804878048780488,10.428571428571429,4,Low Volume
Andaman & Nicobar Islands,Nicobars,1,1,0,0,1,1,100.0,0.0,0.0,1.0,1.0,4,Low Volume
Andaman & Nicobar Islands,South Andaman,37,37,0,0,27,6,100.0,0.0,0.0,1.3703703703703705,6.166666666666667,4,Low Volume
Andaman And Nicobar Islands,Nicobar,74,63,11,0,31,4,85.13513513513513,14.864864864864865,0.0,2.3870967741935485,18.5,4,Low Volume
Andaman And Nicobar Islands,North And Middle Andaman,129,125,4,0,48,7,96.89922480620154,3.10077519379845,0.0,2.6875,18.428571428571427,4,Low Volume
Andaman And Nicobar Islands,South Andaman,187,175,12,0,59,10,93.58288770053476,6.417112299465241,0.0,3.169491525423729,18.7,4,Low Volume
Andhra Pradesh,Adilabad,1395,1115,279,1,73,44,79.92831541218638,20.0,0.07168458781362007,19.10958904109589,31.704545454545453,4,Low Volume
Andhra Pradesh,Alluri Sitharama Raju,1214,1064,116,34,73,36,87.64415156507414,9.555189456342669,2.800658978583196,16.63013698630137,33.72222222222222,4,Low Volume
Andhra Pradesh,Anakapalli,524,505,11,8,70,37,96.37404580152672,2.099236641221374,1.5267175572519083,7.485714285714286,14.162162162162161,4,Low Volume
Andhra Pradesh,Anantapur,4311,3990,321,0,77,91,92.55393180236604,7.446068197633959,0.0,55.98701298701299,47.37362637362637,4,Low Volume
Andhra Pradesh,Ananthapur,1937,1789,148,0,75,91,92.35931853381518,7.640681466184822,0.0,25.826666666666668,21.285714285714285,4,Low Volume
Andhra Pradesh,Ananthapuramu,3094,2930,154,10,74,92,94.69941822882998,4.97737556561086,0.3232062055591467,41.810810810810814,33.630434782608695,4,Low Volume
Andhra Pradesh,Annamayya,995,843,48,104,69,46,84.72361809045226,4.824120603015075,10.452261306532664,14.420289855072463,21.630434782608695,4,Low Volume
Andhra Pradesh,Bapatla,482,413,53,16,71,53,85.68464730290457,10.995850622406639,3.319502074688797,6.788732394366197,9.09433962264151,4,Low Volume
Andhra Pradesh,Chittoor,7947,7266,638,43,77,100,91.43072857682144,8.02818673713351,0.5410846860450484,103.20779220779221,79.47,4,Low Volume
Andhra Pradesh,Cuddapah,5762,5357,403,2,75,80,92.97119055883374,6.994099271086427,0.03471017007983339,76.82666666666667,72.025,4,Low Volume
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,651,604,30,17,70,52,92.78033794162826,4.6082949308755765,2.61136712749616,9.3,12.51923076923077,4,Low Volume
Andhra Pradesh,East Godavari,7504,6997,497,10,77,147,93.24360341151386,6.6231343283582085,0.13326226012793177,97.45454545454545,51.04761904761905,4,Low Volume
Andhra Pradesh,Eluru,608,547,45,16,69,61,89.9671052631579,7.401315789473683,2.631578947368421,8.81159420289855,9.967213114754099,4,Low Volume
Andhra Pradesh,Guntur,9480,8539,907,34,77,108,90.07383966244726,9.567510548523208,0.35864978902953587,123.11688311688312,87.77777777777777,4,Low Volume
Andhra Pradesh,Hyderabad,4708,3723,984,1,76,64,79.07816482582838,20.900594732370433,0.021240441801189464,61.94736842105263,73.5625,4,Low Volume
Andhra Pradesh,K.V. Rangareddy,16,13,3,0,14,11,81.25,18.75,0.0,1.1428571428571428,1.4545454545454546,4,Low Volume
Andhra Pradesh,K.V.Rangareddy,67,54,13,0,43,23,80.59701492537313,19.402985074626866,0.0,1.558139534883721,2.9130434782608696,4,Low Volume
Andhra Pradesh,Kakinada,932,825,80,27,74,37,88.51931330472102,8.583690987124463,2.896995708154506,12.594594594594595,25.18918918918919,4,Low Volume
Andhra Pradesh,Karim Nagar,81,70,11,0,41,23,86.41975308641975,13.580246913580247,0.0,1.975609756097561,3.5217391304347827,4,Low Volume
Andhra Pradesh,Karimnagar,643,541,102,0,72,66,84.13685847589424,15.863141524105753,0.0,8.930555555555555,9.742424242424242,4,Low Volume
Andhra Pradesh,Khammam,1106,847,259,0,72,58,76.58227848101265,23.417721518987342,0.0,15.36111111111111,19.06896551724138,4,Low Volume
Andhra Pradesh,Krishna,6568,6002,533,33,78,111,91.38246041412911,8.115103532277711,0.5024360535931791,84.2051282051282,59.171171171171174,4,Low Volume
Andhra Pradesh,Kurnool,11516,10692,800,24,77,86,92.84473775616533,6.946856547412296,0.20840569642236886,149.55844155844156,133.90697674418604,4,Low Volume
Andhra Pradesh,Mahabub Nagar,1471,1050,421,0,73,58,71.38001359619307,28.619986403806934,0.0,20.15068493150685,25.362068965517242,4,Low Volume
Andhra Pradesh,Mahabubnagar,7,7,0,0,7,7,100.0,0.0,0.0,1.0,1.0,4,Low Volume
Andhra Pradesh,Mahbubnagar,708,501,207,0,70,57,70.76271186440678,29.23728813559322,0.0,10.114285714285714,12.421052631578947,4,Low Volume
